GephiData
idItem,date,client,usercategory,profile,location,typeTrans,amount,balance,clientB,profileB,locationB,balanceB,Class,suspicious
1,2014-01-07 00:40:10,C813207794,4,1,6,5,31404.69,31459.54,C315780191,1,0,15911.47,0,0
5,2013-09-17 04:08:16,C1865053469,4,1,0,3,26914.05,34871.24,C406562340,1,6,7697.58,0,0
7,2014-01-24 15:15:29,C657736953,1,1,5,4,13247.80,27865.02,C99994286,2,5,23507.29,0,0
9,2013-12-01 19:21:48,C972370591,3,2,0,5,118829.28,73552.01,C956030107,1,0,584.73,0,0
10,2013-09-11 03:07:37,C32662331,2,1,4,3,18465.86,22260.60,C1466286527,1,0,22605.89,0,0
11,2013-11-05 17:17:36,C1896806953,3,1,2,2,34372.33,1867.17,null,null,null,0.00,0,0
16,2014-02-02 00:32:34,C1012598604,3,1,4,3,31045.90,10651.42,C918629091,2,0,19323.36,0,0
17,2013-09-13 02:36:47,C438786606,4,1,0,1,34522.28,33127.71,null,null,null,0.00,0,0
18,2013-11-18 05:03:28,C567997254,2,1,0,5,34783.14,16506.23,C306637856,1,0,10771.53,0,0
20,2014-01-17 17:08:45,C1664573878,2,2,6,4,67237.46,122476.26,C1409979026,1,6,40597.40,0,0
22,2013-12-16 19:10:40,C2104208232,4,2,5,1,70089.97,27453.70,null,null,null,0.00,0,0
24,2013-10-12 22:36:01,C1154641966,2,1,3,4,25618.17,23051.66,F1456879531,2,2,4668.50,3,1
25,2013-12-25 22:07:35,C1066469050,4,1,0,4,21986.97,30260.92,C438114165,1,0,2879.34,0,0
27,2014-01-22 22:24:38,C1692828680,1,2,1,5,92855.68,124927.62,C426616968,1,1,49087.76,0,0
29,2013-12-21 21:48:59,C351184092,1,1,6,5,22014.93,11516.07,C1326523422,1,0,13638.34,0,0
32,2013-09-08 19:31:33,C812334513,2,1,6,5,10234.89,13168.22,C1544896400,1,0,11737.33,0,0
33,2013-09-23 05:11:43,C1682663356,4,1,1,5,11950.65,3676.69,C294191855,1,1,19257.23,0,0
36,2013-10-24 02:29:35,C1852634372,4,1,6,5,9555.53,13224.56,C1925526898,1,0,9923.51,0,0
38,2014-01-17 01:07:48,C1135486179,2,2,0,5,119120.91,84403.33,C1515113872,1,0,35829.48,0,0
39,2013-11-11 23:17:03,C1350149610,3,2,0,4,45274.14,124428.33,C1326523422,1,0,62524.75,0,0
41,2014-01-19 02:35:32,C674270306,3,1,3,5,31822.61,19068.72,C1696857930,1,3,25951.13,0,0
42,2013-09-08 12:46:34,C566026257,3,1,0,4,19110.51,12463.85,C615494291,1,4,29660.56,0,0
43,2014-01-29 00:34:12,C280876206,1,1,0,3,13185.88,28069.85,C63473713,1,0,32390.48,0,0
44,2014-02-16 22:43:21,C1548183250,3,1,0,5,25228.21,5900.84,C1846659062,1,6,2661.49,0,0
46,2013-10-27 09:52:39,C1370686578,4,1,0,3,4236.77,17708.47,C1781798417,1,0,25703.40,0,0
50,2014-01-07 14:19:03,C905294532,2,1,2,1,26379.08,34067.41,null,null,null,0.00,0,0
52,2013-10-03 11:59:12,C1643572386,3,1,3,5,6535.42,23409.85,C438114165,1,3,4468.47,0,0
53,2013-09-23 03:34:42,C596219928,3,2,0,5,13428.09,79018.07,F855892949,2,3,5007.09,2,1
56,2013-11-08 09:09:49,C693957051,4,1,4,5,20064.24,18809.90,C1801592362,1,3,16767.70,0,0
57,2013-09-18 01:57:57,F549088027,1,2,3,1,103604.54,43428.01,null,null,null,0.00,2,1
58,2013-10-28 13:13:03,C1184772592,1,1,0,5,10081.22,11961.89,F845481037,2,3,14565.24,3,1
59,2013-12-06 11:43:00,C1293820898,1,1,3,4,26547.27,20358.79,C1549271511,1,3,22622.15,0,0
63,2013-11-28 07:14:57,C1423708342,4,1,0,4,15440.46,13440.87,C411036832,1,6,33358.17,0,0
64,2013-12-01 00:24:07,C1326523422,3,1,1,5,14772.21,33190.20,C492077074,1,3,9716.69,0,0
65,2013-10-20 03:54:51,C1107785224,3,1,0,3,15653.46,9721.78,C1920658627,2,6,30068.30,0,0
67,2013-11-17 10:36:08,C1563165722,4,1,5,2,22166.89,15241.24,null,null,null,0.00,0,0
69,2014-02-02 19:10:30,C1590431766,3,1,4,4,3611.98,31080.26,C1917625666,2,4,5502.70,0,0
70,2013-11-24 09:27:43,F413887675,1,2,6,2,124.71,30675.80,null,null,null,0.00,1,1
73,2014-01-25 17:38:05,C1724500127,3,1,1,3,6562.98,30684.89,C1234612750,1,5,18872.83,0,0
75,2013-09-18 20:52:20,C1690390044,2,1,0,3,26195.08,18233.96,C1310150459,1,2,30856.29,0,0
76,2013-10-29 22:59:42,C1663832994,2,1,0,5,4704.16,4933.10,C765037063,2,0,23390.94,0,0
77,2013-11-13 07:42:17,C1966042243,1,1,5,4,9282.84,33144.95,C1944472884,1,1,19026.30,0,0
78,2013-11-26 01:40:24,C1326523422,3,1,1,5,34688.81,14229.90,C1548931722,1,6,6921.97,0,0
79,2013-12-22 11:05:44,C2083578524,3,2,1,2,67145.68,118628.60,null,null,null,0.00,0,0
80,2013-09-11 20:12:01,C1960764652,3,1,2,3,15112.40,17169.26,C306637856,1,1,13727.39,0,0
81,2013-09-11 05:47:44,C1220504260,1,2,0,3,21301.62,93924.11,C684311593,1,6,98195.10,0,0
82,2014-01-30 23:29:32,C714831071,3,1,0,5,5772.93,5589.20,C1508789478,1,1,19515.49,0,0
85,2014-01-31 04:30:15,C1477922458,4,1,6,5,27106.89,4169.37,C1376663632,1,1,6917.50,0,0
86,2013-10-15 14:35:29,C1450603667,4,1,1,4,30585.29,29181.27,C677219620,2,2,4112.80,0,0
88,2013-11-23 06:24:05,C129404229,4,1,4,5,31209.66,6223.48,C1575153963,1,1,32982.19,0,0
90,2013-12-22 15:42:59,F1995382092,1,2,1,3,76540.12,60958.65,C1386698853,1,6,5519.39,0,0
92,2013-09-26 04:13:58,C693957051,4,1,3,5,850.47,30250.89,C2105354635,2,3,31504.82,0,0
94,2014-01-15 09:15:38,C1634198970,4,1,0,4,9017.14,28132.90,C1899498043,2,0,9715.26,0,0
96,2013-12-03 20:46:46,C1935907414,1,2,0,4,10646.50,11696.82,C727892547,1,0,28408.25,0,0
98,2014-01-30 11:36:25,C1915731411,1,2,1,5,28718.64,8498.74,F1370110463,2,2,99931.38,3,1
99,2013-09-01 19:06:35,C52978156,1,1,3,5,24276.04,12023.09,C1286523465,1,0,34476.19,0,0
100,2013-11-26 12:53:15,C597279351,2,1,0,5,28136.65,17997.33,C1114543593,1,0,15273.65,0,0
101,2014-01-13 12:42:04,C138832172,2,1,6,2,12559.64,19433.53,null,null,null,0.00,0,0
